source,target
<ATTRS> สัด <CONT_START> คงได้ไปทำงานให้บอเบียร์ช้างต่อมั้งสานิตย์ <START>,<ATTRS> สัด <CONT_START> คงได้ไปทำงานให้บอเบียร์ช้างต่อมั้งสานิตย์ <START> คงได้ไปทำงานให้บอสัดเบียร์ช้างต่อมั้งสานิตย์
<ATTRS>  <CONT_START> คนเราจะสะสมผ้าอนามัยลายซิตี้ไปทำไมวะลอรีเอะ <START>,<ATTRS>  <CONT_START> คนเราจะสะสมผ้าอนามัยลายซิตี้ไปทำไมวะลอรีเอะ <START> คนเราจะสะสมผ้าอนามัยลายซิตี้ไปทำไมวะลอรีเอะ
<ATTRS> ผลเสีย <CONT_START> ควันโรงงานอุตสาหกรรมมีกว่าควันไอน้ำอีก <START>,<ATTRS> ผลเสีย <CONT_START> ควันโรงงานอุตสาหกรรมมีกว่าควันไอน้ำอีก <START> ควันโรงงานอุตสาหกรรมมีผลเสียกว่าควันไอน้ำอีก
<ATTRS> เสียใจ <CONT_START> ความสัมพันธ์ที่มะต้องคือกูกับบาบีก้อน <START>,<ATTRS> เสียใจ <CONT_START> ความสัมพันธ์ที่มะต้องคือกูกับบาบีก้อน <START> ความสัมพันธ์ที่มะต้องเสียใจคือกูกับบาบีก้อน
<ATTRS> แต่ ติด ตรง หมูเกินไป <CONT_START> ความอร่อยเหมือนเดิมแผ่นบาง <START>,<ATTRS> แต่ ติด ตรง หมูเกินไป <CONT_START> ความอร่อยเหมือนเดิมแผ่นบาง <START> ความอร่อยเหมือนเดิมแต่ติดตรงหมูแผ่นบางเกินไป
<ATTRS> แพงขอ เท <CONT_START> คีส์นี่จะไปไหนสีเตอร์นไปจะเปงลม <START>,<ATTRS> แพงขอ เท <CONT_START> คีส์นี่จะไปไหนสีเตอร์นไปจะเปงลม <START> คีส์นี่จะแพงไปไหนขอเทสีเตอร์นไปแพงจะเปงลม
<ATTRS> ▁คือ ประเทศไทย มัน หลอน <CONT_START> มันเพี้ยนกันไปหมดแล้วครับ <START>,<ATTRS> ▁คือ ประเทศไทย มัน หลอน <CONT_START> มันเพี้ยนกันไปหมดแล้วครับ <START> คือประเทศไทยมันหลอนมันเพี้ยนกันไปหมดแล้วครับ
<ATTRS> สัสพอ <CONT_START> งงเลยฉันนั้นกูกินฮอตตนทำไมอ่ะแดกนิดเดียว <START>,<ATTRS> สัสพอ <CONT_START> งงเลยฉันนั้นกูกินฮอตตนทำไมอ่ะแดกนิดเดียว <START> งงเลยสัสฉันนั้นกูกินฮอตพอตนทำไมอ่ะแดกนิดเดียว
<ATTRS> จะไม่ <CONT_START> ซื้อjaspalกินbarbqplaza5 <START>,<ATTRS> จะไม่ <CONT_START> ซื้อjaspalกินbarbqplaza5 <START> จะไม่ซื้อjaspalจะไม่กินbarbqplaza5
<ATTRS>  <CONT_START> โจมาโลนโอ้ต&&คอร์นฟลาวคือกลิ่นเหมือนยาจน <START>,<ATTRS>  <CONT_START> โจมาโลนโอ้ต&&คอร์นฟลาวคือกลิ่นเหมือนยาจน <START> โจมาโลนโอ้ต&&คอร์นฟลาวคือกลิ่นเหมือนยาจน
<ATTRS> ไม่ดี <CONT_START> ใจกับinnisfreeเลยขอเถอะอยากเปย์ฮือ <START>,<ATTRS> ไม่ดี <CONT_START> ใจกับinnisfreeเลยขอเถอะอยากเปย์ฮือ <START> ใจไม่ดีกับinnisfreeเลยขอเถอะอยากเปย์ฮือ
<ATTRS>  <CONT_START> เชิญแม่น้ำกะละมังเถิดข้าจ่ายตามราคาแล้วก็ <START>,<ATTRS>  <CONT_START> เชิญแม่น้ำกะละมังเถิดข้าจ่ายตามราคาแล้วก็ <START> เชิญแม่น้ำกะละมังเถิดข้าจ่ายตามราคาแล้วก็
<ATTRS> เซ็ง😏 เนื้อ ติด กะทะ <CONT_START> 🙉ในbarbqplazaในwagyubeef <START>,<ATTRS> เซ็ง😏 เนื้อ ติด กะทะ <CONT_START> 🙉ในbarbqplazaในwagyubeef <START> เซ็ง😏เนื้อติดกะทะ🙉ในbarbqplazaในwagyubeef
<ATTRS> เลิก <CONT_START> ดีเลยกูจะได้ดื่มเครื่องดิ่มตระกูลสิงห์ <START>,<ATTRS> เลิก <CONT_START> ดีเลยกูจะได้ดื่มเครื่องดิ่มตระกูลสิงห์ <START> ดีเลยกูจะได้เลิกดื่มเครื่องดิ่มตระกูลสิงห์
<ATTRS>  <CONT_START> ดื้อเหมือนเด็กทั้งที่สมองแก่ความจริงจะปรากฏ <START>,<ATTRS>  <CONT_START> ดื้อเหมือนเด็กทั้งที่สมองแก่ความจริงจะปรากฏ <START> ดื้อเหมือนเด็กทั้งที่สมองแก่ความจริงจะปรากฏ
<ATTRS> ไม่ไหว <CONT_START> ตลกแม่ว่ะสปายาขวดเดียวเมา5เด้อ <START>,<ATTRS> ไม่ไหว <CONT_START> ตลกแม่ว่ะสปายาขวดเดียวเมา5เด้อ <START> ตลกแม่ว่ะสปายาขวดเดียวเมา5ไม่ไหวเด้อ
<ATTRS> ไฟ ห้องน้ํา ขาด <CONT_START> ตอนเข้าพักไฟห้องน้ำขาดไปดวงกะผ้าป่ามีกลิ่น <START>,<ATTRS> ไฟ ห้องน้ํา ขาด <CONT_START> ตอนเข้าพักไฟห้องน้ำขาดไปดวงกะผ้าป่ามีกลิ่น <START> ตอนเข้าพักไฟห้องน้ำขาดไปดวงกะผ้าป่ามีกลิ่น
<ATTRS> เหี้ยๆ <CONT_START> ตอนนี้ก็มีแต่พวกๆคนรวยๆๆคนแก่เต็มเลย <START>,<ATTRS> เหี้ยๆ <CONT_START> ตอนนี้ก็มีแต่พวกๆคนรวยๆๆคนแก่เต็มเลย <START> ตอนนี้ก็มีแต่พวกเหี้ยๆๆคนรวยๆๆคนแก่เต็มเลย
<ATTRS> ฝีไอสัส <CONT_START> ตุ่มเม็ดเลือดขาวอักเสบหรือหนอง5 <START>,<ATTRS> ฝีไอสัส <CONT_START> ตุ่มเม็ดเลือดขาวอักเสบหรือหนอง5 <START> ตุ่มเม็ดเลือดขาวอักเสบหรือฝีหนองไอสัส5
<ATTRS> แพง <CONT_START> แต่มันช่วงใช้เลยต้องเบียร์ช้างน้อมใจทุกใน <START>,<ATTRS> แพง <CONT_START> แต่มันช่วงใช้เลยต้องเบียร์ช้างน้อมใจทุกใน <START> แต่มันแพงช่วงใช้เลยต้องเบียร์ช้างน้อมใจทุกใน
<ATTRS> จับ บุหรี่ ไฟฟ้าเดือดร้อน <CONT_START> ถ้าจะไปจับหวยก่อนกู <START>,<ATTRS> จับ บุหรี่ ไฟฟ้าเดือดร้อน <CONT_START> ถ้าจะไปจับหวยก่อนกู <START> ถ้าจะจับบุหรี่ไฟฟ้าไปจับหวยก่อนกูเดือดร้อน
<ATTRS> เหี้ย <CONT_START> ทนายก็มีทั้งและดีครับก็เหมือนคนนั่นและ <START>,<ATTRS> เหี้ย <CONT_START> ทนายก็มีทั้งและดีครับก็เหมือนคนนั่นและ <START> ทนายก็มีทั้งเหี้ยและดีครับก็เหมือนคนนั่นและ
<ATTRS> ท้องเสีย <CONT_START> ตั้งแต่เมื่อคืนบาบิก้อนแน่เลยใน <START>,<ATTRS> ท้องเสีย <CONT_START> ตั้งแต่เมื่อคืนบาบิก้อนแน่เลยใน <START> ท้องเสียตั้งแต่เมื่อคืนบาบิก้อนแน่เลยใน
<ATTRS> ทีหลัง แดก หงส์ แบนแพง <CONT_START> ได้ไม่มีปัญหาแบล็คลิตรมัน <START>,<ATTRS> ทีหลัง แดก หงส์ แบนแพง <CONT_START> ได้ไม่มีปัญหาแบล็คลิตรมัน <START> ทีหลังแดกหงส์แบนได้ไม่มีปัญหาแบล็คลิตรมันแพง
<ATTRS> มีราคาแพง <CONT_START> น้ำยาคนผลิตได้กำไรเป็นกอบเป็นกำขำวะ <START>,<ATTRS> มีราคาแพง <CONT_START> น้ำยาคนผลิตได้กำไรเป็นกอบเป็นกำขำวะ <START> น้ำยามีราคาแพงคนผลิตได้กำไรเป็นกอบเป็นกำขำวะ
<ATTRS> แพง <CONT_START> นิกสันดาวน์น้อยขนาดนี้จะส่งนายมั้ยกลัวดอก <START>,<ATTRS> แพง <CONT_START> นิกสันดาวน์น้อยขนาดนี้จะส่งนายมั้ยกลัวดอก <START> นิกสันดาวน์น้อยขนาดนี้จะส่งนายมั้ยกลัวดอกแพง
<ATTRS> ใช้ ไม่ได้เลย <CONT_START> เน็ต2วันแล้วเดี๋ยวมาเดี๋ยวหาย <START>,<ATTRS> ใช้ ไม่ได้เลย <CONT_START> เน็ต2วันแล้วเดี๋ยวมาเดี๋ยวหาย <START> เน็ตใช้ไม่ได้เลย2วันแล้วเดี๋ยวมาเดี๋ยวหาย
<ATTRS> บ า คไอ้เหี้ย <CONT_START> าดี้ยังหลอนปากกูอยู่ขมขื่นจริง <START>,<ATTRS> บ า คไอ้เหี้ย <CONT_START> าดี้ยังหลอนปากกูอยู่ขมขื่นจริง <START> บาคาดี้ยังหลอนปากกูอยู่ไอ้เหี้ยขมขื่นจริง
<ATTRS> ขึ้นราคาแพง <CONT_START> บาบีก้อนมึงบุไฟกูรู้นะเริ่มไปละ <START>,<ATTRS> ขึ้นราคาแพง <CONT_START> บาบีก้อนมึงบุไฟกูรู้นะเริ่มไปละ <START> บาบีก้อนมึงขึ้นราคาบุไฟกูรู้นะเริ่มแพงไปละ
<ATTRS>  <CONT_START> บาร์บีก้อนนี่ผงชูรสเยอะมากมั้ยกุรอปากเจ่อละ <START>,<ATTRS>  <CONT_START> บาร์บีก้อนนี่ผงชูรสเยอะมากมั้ยกุรอปากเจ่อละ <START> บาร์บีก้อนนี่ผงชูรสเยอะมากมั้ยกุรอปากเจ่อละ
<ATTRS> เบ ือผ้าอนามัย มัน บิดไม่ค่อย <CONT_START> ตอนไซมาติดกางเกง <START>,<ATTRS> เบ ือผ้าอนามัย มัน บิดไม่ค่อย <CONT_START> ตอนไซมาติดกางเกง <START> เบือตอนผ้าอนามัยมันบิดไซมาไม่ค่อยติดกางเกง
<ATTRS> ปวดขี้ บน รถไฟฟ้า <CONT_START> ตอนหนาวๆๆนี่มิใช่เรื่องตลกพ.ศ. <START>,<ATTRS> ปวดขี้ บน รถไฟฟ้า <CONT_START> ตอนหนาวๆๆนี่มิใช่เรื่องตลกพ.ศ. <START> ปวดขี้บนรถไฟฟ้าตอนหนาวๆๆนี่มิใช่เรื่องตลกพ.ศ.
<ATTRS>  <CONT_START> ไปกินทีรัยหมูแผ่นบางๆๆไม่เหมือนในภาพโฆษณาเลย <START>,<ATTRS>  <CONT_START> ไปกินทีรัยหมูแผ่นบางๆๆไม่เหมือนในภาพโฆษณาเลย <START> ไปกินทีรัยหมูแผ่นบางๆๆไม่เหมือนในภาพโฆษณาเลย
<ATTRS> ไม่ค่อยชอบไม่ค่อย <CONT_START> ผมชอบในกินแล้วอยู่ท้องอ่ะคับ <START>,<ATTRS> ไม่ค่อยชอบไม่ค่อย <CONT_START> ผมชอบในกินแล้วอยู่ท้องอ่ะคับ <START> ผมไม่ค่อยชอบในกินแล้วไม่ค่อยอยู่ท้องอ่ะคับ
<ATTRS> ทุ รังไม่ไหวเหม็น มาก <CONT_START> ผมลองดันสูบมวนมันจิงนะ <START>,<ATTRS> ทุ รังไม่ไหวเหม็น มาก <CONT_START> ผมลองดันสูบมวนมันจิงนะ <START> ผมลองดันทุรังสูบมวนมันไม่ไหวจิงนะเหม็นมาก
<ATTRS> น้อยมาก <CONT_START> พานาคอตต้าไปถามบอกเสริไฟไม่มาวางตู้ล่ะ <START>,<ATTRS> น้อยมาก <CONT_START> พานาคอตต้าไปถามบอกเสริไฟไม่มาวางตู้ล่ะ <START> พานาคอตต้าน้อยมากไปถามบอกเสริไฟไม่มาวางตู้ล่ะ
<ATTRS> แพ้สัด <CONT_START> ผ้าอนามัยคันระเบิดระเบ้อทุกเดือน😓 <START>,<ATTRS> แพ้สัด <CONT_START> ผ้าอนามัยคันระเบิดระเบ้อทุกเดือน😓 <START> แพ้ผ้าอนามัยสัดคันระเบิดระเบ้อทุกเดือน😓
<ATTRS> ผ้าอนามัย อะ ทําไงดีแพ้เปลี่ยน ยี่ห้อ <CONT_START> ผ้าอนามัยอะทำไงดี😭ในที่ใช้ <START>,<ATTRS> ผ้าอนามัย อะ ทําไงดีแพ้เปลี่ยน ยี่ห้อ <CONT_START> ผ้าอนามัยอะทำไงดี😭ในที่ใช้ <START> แพ้ผ้าอนามัยอะทำไงดี😭ในเปลี่ยนยี่ห้อที่ใช้
<ATTRS>  <CONT_START> มันได้โปรแค่วันธรรมดาอ่ะเบลจันทร์ในศุกร์😂 <START>,<ATTRS>  <CONT_START> มันได้โปรแค่วันธรรมดาอ่ะเบลจันทร์ในศุกร์😂 <START> มันได้โปรแค่วันธรรมดาอ่ะเบลจันทร์ในศุกร์😂
<ATTRS> ม่าย <CONT_START> ยามันเน้นไก่หมูกูเน้นกุ้งกับปลาหมึกกรอบ <START>,<ATTRS> ม่าย <CONT_START> ยามันเน้นไก่หมูกูเน้นกุ้งกับปลาหมึกกรอบ <START> ม่ายยามันเน้นไก่หมูกูเน้นกุ้งกับปลาหมึกกรอบ
<ATTRS>  <CONT_START> มีแต่ในกรุงเทพคนจังหวัดอื่นเขาแดกไม่เป็นมั้ง <START>,<ATTRS>  <CONT_START> มีแต่ในกรุงเทพคนจังหวัดอื่นเขาแดกไม่เป็นมั้ง <START> มีแต่ในกรุงเทพคนจังหวัดอื่นเขาแดกไม่เป็นมั้ง
<ATTRS> เสียว ไส้ มาก <CONT_START> มึงไปด้5รีวิวผ้าอนามัยแบบสอด <START>,<ATTRS> เสียว ไส้ มาก <CONT_START> มึงไปด้5รีวิวผ้าอนามัยแบบสอด <START> มึงไปด้เสียวไส้มาก5รีวิวผ้าอนามัยแบบสอด
<ATTRS> อีเหี้ย <CONT_START> เมื่อคืนแดกเรดไปสองขวดเมาเหมือนหมาเลย <START>,<ATTRS> อีเหี้ย <CONT_START> เมื่อคืนแดกเรดไปสองขวดเมาเหมือนหมาเลย <START> เมื่อคืนแดกเรดไปสองขวดเมาเหมือนหมาเลยอีเหี้ย
<ATTRS> โฆษณา แอบแฝง ได้ กี่บาท <CONT_START> แม่ลงเบียร์ช้างเห็นๆๆวะ <START>,<ATTRS> โฆษณา แอบแฝง ได้ กี่บาท <CONT_START> แม่ลงเบียร์ช้างเห็นๆๆวะ <START> แม่ลงเบียร์ช้างเห็นๆๆโฆษณาแอบแฝงได้กี่บาทวะ
<ATTRS>  <CONT_START> ไม่absoluteละvodkaมันอ่อนไปabsintheเลยเถอะ <START>,<ATTRS>  <CONT_START> ไม่absoluteละvodkaมันอ่อนไปabsintheเลยเถอะ <START> ไม่absoluteละvodkaมันอ่อนไปabsintheเลยเถอะ
<ATTRS> ▁ไม่ ชอบกินหมด <CONT_START> ลีโอแต่กินกระป๋องก่อนใคร5 <START>,<ATTRS> ▁ไม่ ชอบกินหมด <CONT_START> ลีโอแต่กินกระป๋องก่อนใคร5 <START> ไม่ชอบกินลีโอแต่กินหมดกระป๋องก่อนใคร5
<ATTRS> คงไม่ กิน <CONT_START> ยังงั้นถ้าเราเหในเรากะชิ้นนั้นยุดีพ.ศ. <START>,<ATTRS> คงไม่ กิน <CONT_START> ยังงั้นถ้าเราเหในเรากะชิ้นนั้นยุดีพ.ศ. <START> ยังงั้นถ้าเราเหในเรากะคงไม่กินชิ้นนั้นยุดีพ.ศ.
<ATTRS> กด ราคา แต่ คุณภาพของอาหาร ก็ ลดน้อยลง <CONT_START> ไปด้วย??? <START>,<ATTRS> กด ราคา แต่ คุณภาพของอาหาร ก็ ลดน้อยลง <CONT_START> ไปด้วย??? <START> กดราคาแต่คุณภาพของอาหารก็ลดน้อยลงไปด้วย???
<ATTRS> อ้วก <CONT_START> ลองเบียร์ยูมึงจะจองชักโครกเลยแตก5 <START>,<ATTRS> อ้วก <CONT_START> ลองเบียร์ยูมึงจะจองชักโครกเลยแตก5 <START> ลองเบียร์ยูมึงจะจองชักโครกเลยอ้วกแตก5
<ATTRS>  <CONT_START> ละไอจีนี่ยังไงร้านบุหรี่ไฟฟ้าฟอลพพึ่บมากงง <START>,<ATTRS>  <CONT_START> ละไอจีนี่ยังไงร้านบุหรี่ไฟฟ้าฟอลพพึ่บมากงง <START> ละไอจีนี่ยังไงร้านบุหรี่ไฟฟ้าฟอลพพึ่บมากงง
<ATTRS> จันทบุรี ไม้ เป็น <CONT_START> วันนี้ไปทานที่โฮมโปรกดราคาเลย <START>,<ATTRS> จันทบุรี ไม้ เป็น <CONT_START> วันนี้ไปทานที่โฮมโปรกดราคาเลย <START> วันนี้ไปทานที่โฮมโปรจันทบุรีไม้เป็นกดราคาเลย
<ATTRS> ส้น ตรีไม่ แดกส วะ <CONT_START> ในจะริมๆๆอยุ่แบบหมาจริงพวกนี้ <START>,<ATTRS> ส้น ตรีไม่ แดกส วะ <CONT_START> ในจะริมๆๆอยุ่แบบหมาจริงพวกนี้ <START> ส้นตรีในจะริมๆๆอยุ่แบบหมาไม่แดกจริงพวกสวะนี้
<ATTRS> สาขา ใกล้บ้าน ไม่เคยมีโปร ที่ไม่เคย ลด เลย <CONT_START> ลดเลย <START>,<ATTRS> สาขา ใกล้บ้าน ไม่เคยมีโปร ที่ไม่เคย ลด เลย <CONT_START> ลดเลย <START> สาขาใกล้บ้านไม่เคยลดเลยมีโปรที่ไม่เคยลดเลย
<ATTRS>  <CONT_START> แสงสีนี่เวลาตื่นจะรู้สึกเหมือนโดนกระทืบหน้า <START>,<ATTRS>  <CONT_START> แสงสีนี่เวลาตื่นจะรู้สึกเหมือนโดนกระทืบหน้า <START> แสงสีนี่เวลาตื่นจะรู้สึกเหมือนโดนกระทืบหน้า
<ATTRS> กระด้าง มาก <CONT_START> ใส่นาวาร่าราคาเท่าไหร่ครับสีแตนดาด <START>,<ATTRS> กระด้าง มาก <CONT_START> ใส่นาวาร่าราคาเท่าไหร่ครับสีแตนดาด <START> ใส่นาวาร่าราคาเท่าไหร่ครับสีแตนดาดกระด้างมาก
<ATTRS> เอาเปรียบ <CONT_START> ใส่มามัยน้ำแข็งอ่ะก้อนผุ้บริโภคหรอ <START>,<ATTRS> เอาเปรียบ <CONT_START> ใส่มามัยน้ำแข็งอ่ะก้อนผุ้บริโภคหรอ <START> ใส่มามัยน้ำแข็งอ่ะก้อนเอาเปรียบผุ้บริโภคหรอ
<ATTRS> แต่ไม่แพง <CONT_START> เห็นปลาหมึกทอดตังกินเกิ๊น5 <START>,<ATTRS> แต่ไม่แพง <CONT_START> เห็นปลาหมึกทอดตังกินเกิ๊น5 <START> เห็นปลาหมึกทอดแต่ไม่ตังกินแพงเกิ๊น5
<ATTRS> ไอสัส <CONT_START> เห็นรีล่าแล้วอยากเหมาอินนีสฟรีๆๆๆ <START>,<ATTRS> ไอสัส <CONT_START> เห็นรีล่าแล้วอยากเหมาอินนีสฟรีๆๆๆ <START> เห็นรีล่าแล้วอยากเหมาอินนีสฟรีไอสัสๆๆๆ
<ATTRS> จะอ้วก <CONT_START> เห็นรูปเนื้อบาบีก้อนหน้าไทม์ไลน์แล้วกุ <START>,<ATTRS> จะอ้วก <CONT_START> เห็นรูปเนื้อบาบีก้อนหน้าไทม์ไลน์แล้วกุ <START> เห็นรูปเนื้อบาบีก้อนหน้าไทม์ไลน์แล้วกุจะอ้วก
<ATTRS> ไม่อยาก <CONT_START> อยากกินแต่เจอประโยคท้ายก็รู้สึกกินละ <START>,<ATTRS> ไม่อยาก <CONT_START> อยากกินแต่เจอประโยคท้ายก็รู้สึกกินละ <START> อยากกินแต่เจอประโยคท้ายก็รู้สึกไม่อยากกินละ
<ATTRS> ▁อย่ากูก็ ไม่ดู <CONT_START> ว่าที่บาบิก้อนหมูกะทะธรรมดาอ่ะ <START>,<ATTRS> ▁อย่ากูก็ ไม่ดู <CONT_START> ว่าที่บาบิก้อนหมูกะทะธรรมดาอ่ะ <START> อย่าว่าที่บาบิก้อนหมูกะทะธรรมดากูก็ไม่ดูอ่ะ
<ATTRS> ไม่โดน แต่ ชีส <CONT_START> วันนี้ยังมิได้ไปกินเลย555ใน🤣 <START>,<ATTRS> ไม่โดน แต่ ชีส <CONT_START> วันนี้ยังมิได้ไปกินเลย555ใน🤣 <START> วันนี้ไม่โดนแต่ชีสยังมิได้ไปกินเลย555ใน🤣
<ATTRS> ไม่ทันสั่ง ไปยัง มิได้ <CONT_START> altisผลิตรถครับรถครับ <START>,<ATTRS> ไม่ทันสั่ง ไปยัง มิได้ <CONT_START> altisผลิตรถครับรถครับ <START> altisผลิตรถไม่ทันครับสั่งไปยังมิได้รถครับ
<ATTRS> เสียง <CONT_START> dmaxตัวซ่าทั้งแรงหน้าชาและศรัทธาในดนตรี <START>,<ATTRS> เสียง <CONT_START> dmaxตัวซ่าทั้งแรงหน้าชาและศรัทธาในดนตรี <START> dmaxตัวซ่าทั้งแรงหน้าชาและศรัทธาในเสียงดนตรี
<ATTRS>  <CONT_START> eristoffรสเหมือนกินกาน้ำเด็กมาก5 <START>,<ATTRS>  <CONT_START> eristoffรสเหมือนกินกาน้ำเด็กมาก5 <START> eristoffรสเหมือนกินกาน้ำเด็กมาก5
<ATTRS>  <CONT_START> primerของrevlonไม่แต่ของgoldenroseดี <START>,<ATTRS>  <CONT_START> primerของrevlonไม่แต่ของgoldenroseดี <START> primerของrevlonไม่แต่ของgoldenroseดี
<ATTRS> พอหมด <CONT_START> กว่าจะมาให้เชคเปิดคูปองอะไรกันใน <START>,<ATTRS> พอหมด <CONT_START> กว่าจะมาให้เชคเปิดคูปองอะไรกันใน <START> กว่าจะมาให้เชคพอเปิดคูปองหมดอะไรกันใน
<ATTRS> ผ้าอนามัย ติด <CONT_START> กาวทุกอย่างจริงยกเว้นกางเกง😒 <START>,<ATTRS> ผ้าอนามัย ติด <CONT_START> กาวทุกอย่างจริงยกเว้นกางเกง😒 <START> กาวผ้าอนามัยติดทุกอย่างจริงยกเว้นกางเกง😒
<ATTRS> ผ้าอนามัย ติด <CONT_START> กาวแน่นกับทุกอย่างยกเว้นกางเกง <START>,<ATTRS> ผ้าอนามัย ติด <CONT_START> กาวแน่นกับทุกอย่างยกเว้นกางเกง <START> กาวผ้าอนามัยติดแน่นกับทุกอย่างยกเว้นกางเกง
<ATTRS> กาว ผ้าอนามัย นี้ ติด <CONT_START> ทุกอย่างยกเว้นกางเกงจริง <START>,<ATTRS> กาว ผ้าอนามัย นี้ ติด <CONT_START> ทุกอย่างยกเว้นกางเกงจริง <START> กาวผ้าอนามัยนี้ติดทุกอย่างยกเว้นกางเกงจริง
<ATTRS> รําคาญ <CONT_START> กูเริ่มรำคาญโฆษณาเบียร์ช้างที่พี่เวียรในเช่นละ <START>,<ATTRS> รําคาญ <CONT_START> กูเริ่มรำคาญโฆษณาเบียร์ช้างที่พี่เวียรในเช่นละ <START> กูเริ่มรำคาญโฆษณาเบียร์ช้างที่พี่เวียรในเช่นละ
<ATTRS> จับ บ้า บุหรี่ ไฟฟ้าถึงกับ ยึด รถ <CONT_START> คิดว่า5 <START>,<ATTRS> จับ บ้า บุหรี่ ไฟฟ้าถึงกับ ยึด รถ <CONT_START> คิดว่า5 <START> คิดว่าจับบ้าบุหรี่ไฟฟ้าถึงกับยึดรถ5
<ATTRS> ต้องเสีย <CONT_START> คืออีทูดี้เปิดกู้ดีติงฮือคือเถิดแล้ว <START>,<ATTRS> ต้องเสีย <CONT_START> คืออีทูดี้เปิดกู้ดีติงฮือคือเถิดแล้ว <START> คืออีทูดี้เปิดกู้ดีติงฮือคือต้องเสียเถิดแล้ว
<ATTRS> น้อยมาก <CONT_START> เคยสั่งละไม่เยอะเท่าในจานนี้เลยจริง <START>,<ATTRS> น้อยมาก <CONT_START> เคยสั่งละไม่เยอะเท่าในจานนี้เลยจริง <START> เคยสั่งละไม่เยอะเท่าในจานนี้เลยน้อยมากจริง
<ATTRS>  <CONT_START> เค้านำหมูก้อนมาสไลด์กันหลังร้านหรอคะ5 <START>,<ATTRS>  <CONT_START> เค้านำหมูก้อนมาสไลด์กันหลังร้านหรอคะ5 <START> เค้านำหมูก้อนมาสไลด์กันหลังร้านหรอคะ5
<ATTRS> ไอ หน้า หมีสังคม อักเสบ <CONT_START> ใครก็ได้แทกให้มันดูหน่อย <START>,<ATTRS> ไอ หน้า หมีสังคม อักเสบ <CONT_START> ใครก็ได้แทกให้มันดูหน่อย <START> ใครก็ได้แทกไอหน้าหมีสังคมอักเสบให้มันดูหน่อย
<ATTRS> เสียง <CONT_START> โฆษณาผ้าอนามัยสะงั้นสวยน่ารักคะแต่ไม่โอ <START>,<ATTRS> เสียง <CONT_START> โฆษณาผ้าอนามัยสะงั้นสวยน่ารักคะแต่ไม่โอ <START> โฆษณาผ้าอนามัยสะงั้นสวยน่ารักคะแต่เสียงไม่โอ
<ATTRS> ขี้ งก <CONT_START> จริงค่ะคุณจะขายให้ซื้อเพิ่มก็ได้จริงๆๆ <START>,<ATTRS> ขี้ งก <CONT_START> จริงค่ะคุณจะขายให้ซื้อเพิ่มก็ได้จริงๆๆ <START> จริงค่ะคุณจะขายให้ซื้อเพิ่มก็ได้ขี้งกจริงๆๆ
<ATTRS> จะไม่ <CONT_START> ว่าสีเมออฟผสมฟูมูลกับองุ่นม่วงอีกฮือ <START>,<ATTRS> จะไม่ <CONT_START> ว่าสีเมออฟผสมฟูมูลกับองุ่นม่วงอีกฮือ <START> จะไม่ว่าสีเมออฟผสมฟูมูลกับองุ่นม่วงอีกฮือ
<ATTRS> เลิก <CONT_START> ช่วงใช้คงแดกผลิตภัณฑ์สิงห์🦁สักระยะ🤔 <START>,<ATTRS> เลิก <CONT_START> ช่วงใช้คงแดกผลิตภัณฑ์สิงห์🦁สักระยะ🤔 <START> ช่วงใช้คงเลิกแดกผลิตภัณฑ์สิงห์🦁สักระยะ🤔
<ATTRS> เชี่ย <CONT_START> นเหมือนเจมีสันยังคงวนเวียนอยู่ในร่างกาย <START>,<ATTRS> เชี่ย <CONT_START> นเหมือนเจมีสันยังคงวนเวียนอยู่ในร่างกาย <START> เชี่ยนเหมือนเจมีสันยังคงวนเวียนอยู่ในร่างกาย
<ATTRS>  <CONT_START> ได้innisfreeแบบไม่เสียเถิดกูสักบาทแฮ่ๆๆ <START>,<ATTRS>  <CONT_START> ได้innisfreeแบบไม่เสียเถิดกูสักบาทแฮ่ๆๆ <START> ได้innisfreeแบบไม่เสียเถิดกูสักบาทแฮ่ๆๆ
<ATTRS> มั่ว <CONT_START> ตีกันไปหมดว้อดก้าchivasเหล้าปั่นเบียร์ <START>,<ATTRS> มั่ว <CONT_START> ตีกันไปหมดว้อดก้าchivasเหล้าปั่นเบียร์ <START> ตีกันมั่วไปหมดว้อดก้าchivasเหล้าปั่นเบียร์
<ATTRS> ไม่ไหว <CONT_START> แต้งิ้วเดี๋ยวไปสอยละอีอินทูอิทตาแหก <START>,<ATTRS> ไม่ไหว <CONT_START> แต้งิ้วเดี๋ยวไปสอยละอีอินทูอิทตาแหก <START> แต้งิ้วเดี๋ยวไปสอยไม่ไหวละอีอินทูอิทตาแหก
<ATTRS> นักกฎหมาย บุหรี่ ไทย <CONT_START> ถ้าก็ขายไม่ออกอะจริง5 <START>,<ATTRS> นักกฎหมาย บุหรี่ ไทย <CONT_START> ถ้าก็ขายไม่ออกอะจริง5 <START> ถ้านักกฎหมายบุหรี่ไทยก็ขายไม่ออกอะจริง5
<ATTRS> เสีย <CONT_START> ถ้าฟรีจะว่างตลอดๆๆแต่ตังอ่ะควบแน่น5 <START>,<ATTRS> เสีย <CONT_START> ถ้าฟรีจะว่างตลอดๆๆแต่ตังอ่ะควบแน่น5 <START> ถ้าฟรีจะว่างตลอดๆๆแต่เสียตังอ่ะควบแน่น5
